id;id_local;object_id;name;phone_1;place_id;types;validated_by;vicinity;vaga;foto;nota;lat_2_lng_2;has_chair_wheel;has_handicapped_help;has_interpreter;has_special_furniture
1;66836;Keys Tasty;blockchains connect;Rustic AGP base;firmware;Baht;Yemeni web;Agent Salad;Estate;payment;84995;AI;client-server;interface;Pants;Planner violet enable
2;34495;circuit Taka;Steel Metal deposit;Ports Berkshire;Executive;Games Fork;empowering;connect cross-platform;haptic actuating;Avenue hybrid Tactics;68202;connect;Executive South;service-desk;generate;Lead
3;32013;extend Bedfordshire;reboot;infomediaries;Baby Toys iterate;Mouse generating;Franc;plug-and-play;open-source;silver teal online;55765;up;indexing;green;transitional multimedia;optical Common
4;99978;Steel deliver one-to-one;open-source;microchip Profit-focused reboot;and;Wooden strategy;stable;analyzer;Operations up;Oval;5185;Devolved drive optical;Vermont;primary Generic;Account hardware;cross-platform
5;87947;Awesome discrete;Harbor Consultant;Open-architected;Keys;JBOD Plastic;disintermediate;evolve;programming Guinea;Guilder SCSI;92666;Beauty Wyoming;Avon IB Helena;SQL FTP Chips;Dynamic portal extensible;generating Iowa District
6;19775;Bedfordshire Identity Tuna;Bike Refined;HTTP Stand-alone Ball;pink;transform reboot;Account;tangible out-of-the-box;hacking;Wooden Brand Connecticut;23334;Antillian Pre-emptive;Buckinghamshire;SQL Administrator proactive;Gloves Rupee;Pound Music Cotton
7;9266;innovative;synthesize Computers;JSON Program;Grocery out-of-the-box;Hawaii Adaptive;Hryvnia Industrial Solutions;Quality-focused;invoice success up;Practical Path orange;64465;strategize vertical Supervisor;4th;compress Malawi;Inlet multi-tasking;conglomeration Springs
8;59639;Markets backing back;cyan Ergonomic Money;Falkland Infrastructure best-of-breed;e-markets Home HDD;bypass Guatemala;local Alley bandwidth;neural-net Group Horizontal;Mongolia;Handmade Berkshire;64588;matrix Loan;Markets relationships;Rican Missouri turquoise;index revolutionary PCI;gold Response
9;61236;core CSS Facilitator;Right-sized Customer;SDD stable Group;JBOD;Regional Infrastructure open-source;tan primary;IB groupware;Corporate Developer;Bedfordshire Loan;68397;invoice;Focused Refined Lead;feed;SMS Stream Investor;Meadows indigo Hat
10;29003;alarm mobile California;Tunnel grey transition;multimedia;Persistent;Prairie;mission-critical quantifying users;sexy hacking;Granite digital copying;Up-sized Frozen synergize;3682;Steel Indiana;Creative Auto;monetize Delaware transmitter;Brand Peso Down-sized;models Bedfordshire
